PC1,PC2,PC3,PC4,song,genre,filename
0.0840612251186174,-0.07748189805709753,-0.0637809206062204,-0.062143794442363884,A Fan's Mail,funk,A Fan's Mail
0.3320439580027245,-0.15405298902648348,-0.06029123911749749,0.15189764890922064,Abracadabra,pop,Abracadabra
-0.011685965477956327,0.19454422275800873,-0.04636977086233007,0.046978846766191684,Aguas De Marco,bossa nova,Aguas De Marco
0.009237417790394314,-0.10955263966384236,-0.11119024599886204,-0.0899071042798016,Another Time,hip hop,Another Time
0.30858204565235786,-0.04062409798759097,-0.11907080512815105,0.14966032860115347,Belong to the World,hip hop,Belong to the World
-0.12859801361858716,-0.09700584444312185,-0.09956460508233661,-0.025011922729645416,Benzoin Gum,hip hop,Benzoin Gum
-0.15326237041296764,0.08324640646277923,0.11859544367796036,-0.0722793068900262,Blue Bayou,country rock,Blue Bayou
0.1546518816457209,-0.5097360602952198,0.015324154660623394,-0.0510223008080213,Calabria 2008,electronic,Calabria 2008
0.11330261112118889,-0.014852007800331683,0.31400592646989417,-0.07219774405310692,Dancer,rock,Dancer
0.13296448186542467,-0.00799563926070803,0.22570549419111263,0.08689938093148934,Diamonds,pop,Diamonds
-0.11512385151996554,0.015189338090047551,0.09673357834059022,-0.06972391656395317,Diana in The Autumn Wind,jazz,Diana in The Autumn Wind
-0.07463617292412968,-0.12854197602624942,-0.2049291819557678,0.18261615891361946,Do 4 Love,R&B,Do 4 Love
-0.24367730868466803,-0.011181694961835041,-0.01680256342274091,-0.013166875694306421,Early Summer,jazz,Early Summer
0.4552534066472584,-0.06542646586182008,-0.07485187570318703,-0.08211127481142828,Electric Feel,pop,Electric Feel
-0.06283641419187341,0.027066805484899408,-0.17203744575797464,0.028581865786223844,For my Hand,afrobeats,For my Hand
0.13111878996161683,-0.1260825728427824,0.030281853727418095,0.02196482260552832,Frederick,rock,Frederick
0.23130883765203533,0.3485918924047722,-0.09812559077988317,0.14646460578661885,Freedom Time,hip hop,Freedom Time
0.10296245777008357,-0.07777221271436262,0.085540000693056,0.019933550809043063,Freefall,house,Freefall
0.18481341803705484,-0.35237177627459104,0.005835266142140826,0.03906955493806927,Gypsy Woman,electronic,Gypsy Woman
-0.21777423629121453,0.03512065377693968,-0.2832096746255378,0.025699492622081252,Heart of Gold,folk rock,Heart of Gold
-0.13982382795289197,0.0877778626602595,0.1598240458811055,-0.005800640006114806,Honey,R&B,Honey
-0.27363259959834346,0.028998731309058046,0.05745251437040558,-0.08495643426192744,Huit Octobre 1971,jazz,Huit Octobre 1971
-0.1632777567342651,0.10729360937203804,0.06707101825231881,-0.053404263457702064,i am enough,R&B,i am enough
0.23975034969088949,0.0030568012375734987,0.15830047913009718,0.006643723834909856,I'm Gonna Be,pop rock,I'm Gonna Be
0.2454774853374134,-0.22001326883712596,-0.019141237765731615,0.017985780833131425,Inochi No Tabekata,J-pop,Inochi No Tabekata
-0.5618146399280901,-0.45471880515424384,0.15289511250346816,0.2111694606822087,It's Possible Again,soundtrack,It's Possible Again
-0.38185142354634183,0.37275813808817854,0.10661247866579288,0.17318920029275367,"Symphony No. 6 in B Minor, Op. 74: IV Finale",classical,"Symphony No. 6 in B Minor, Op. 74: IV Finale"
0.30101355368361793,0.12962776753610045,0.06526989886341537,0.023163219092866325,Kalidoscope,jazz,Kalidoscope
-0.16972990749793626,-0.38711909083589285,0.13550265846877407,0.07081204956237336,Left Behind,electronic,Left Behind
-0.20461232493508086,0.13802195476003778,-0.17274718988793134,-0.052282789150140487,Like a Tattoo,soul,Like a Tattoo
-0.158767892211774,-0.11053158290431407,-0.07317326125889033,0.13299009963086586,Love theme from spartacus,jazz,Love theme from spartacus
-0.2331797130550004,-0.1448073031961383,-0.14719223074440474,0.049005527243728975,Love theme from the robe,jazz,Love theme from the robe
0.05534398259446543,0.009264518809157227,0.12622209519436123,-0.04149166010525465,Make Yours a Happy Home,soul,Make Yours a Happy Home
-0.13965525245224278,0.3116841529802947,-0.06434760654734907,0.03048424110245318,Misty,jazz,Misty
0.08008581343205412,-0.03041404631473176,-0.22678615017226453,-0.05108631186781948,My Favorite Things,jazz,My Favorite Things
0.2722783830284721,0.1944946565470745,-0.007173244102759155,0.05869764611931805,Niagra Falls,R&B,Niagra Falls
-0.017385934989399377,0.10508251108203427,0.13069779128114303,-0.08639262218692711,Only in my Dreams,pop,Only in my Dreams
-0.117125405143153,0.04748350987713136,-0.16953786780053898,-0.13476010370929023,Passin Me By,hip hop,Passin Me By
-0.3705186576341648,0.0006638006341895497,0.038798581968018254,0.09501856967141956,Pot au Feu,electronic,Pot au Feu
0.15243351510322653,0.2011859046252867,0.18388695156819979,-0.0834207297099399,Promises (feat. Joe L Barnes),gospel,Promises (feat. Joe L Barnes)
0.09138095134680663,0.23353196037914567,0.09331739773191518,0.09428164082782761,Promises,soul,Promises
0.41800359731586284,-0.06231843587885294,-0.03044324934531154,-0.01816533603785129,Prove,J-rock,Prove
-0.23117999745429554,0.25238953805549325,-0.06445861111587288,0.02622097387680472,Rises the Moon,indie,Rises the Moon
-0.046737480445482454,-0.12362551551824941,0.22076850568676493,-0.010550832917337372,Say it Right,pop,Say it Right
0.2889530809020883,0.1233899218335874,0.10591807615861959,0.09950221769775457,Shiki No Uta,hip hop,Shiki No Uta
0.17302773560884088,0.08123098927246046,-0.057895378223918846,-0.2103476819281838,Simulation Swarm,indie,Simulation Swarm
0.09728112627090335,0.10127290201053508,0.004722053361864212,-0.0032205740729086196,Sky Restaurant,pop,Sky Restaurant
-0.17970464483761908,-0.11313027078321336,-0.2391504048409446,-0.0706392714874661,Summer in the City,jazz,Summer in the City
-0.21975965025910837,-0.010101336641562904,0.022955754720732763,-0.07155757533119542,Summer Nights,soul,Summer Nights
-0.1555638331057323,0.12597936400079063,-0.021734887004883456,-0.02673978914795199,Tadow,soul,Tadow
-0.16516152364707218,-0.058981572925716486,0.2195109920499359,-0.042758528305526323,The Agency Group,indie,The Agency Group
0.23940296815863032,0.07772247278996901,0.037392454558001394,-0.04661988680313519,The Chain,rock,The Chain
-0.1458594945069598,0.1953118677538114,-0.17454924769062136,-0.061188010348444836,The First Time Ever I Saw Your Face,soul,The First Time Ever I Saw Your Face
0.0776019807829963,0.009284450289587404,0.10087116164077417,-0.04416003399301583,The Line,rock,The Line
-0.3041249948024616,-0.11019312821847636,0.09454371821570118,-0.0941801354449112,The Word 2,pop,The Word 2
-0.04895402504053809,-0.3411551709345451,-0.13094599319505612,-0.14719453877260907,Them Changes,funk,Them Changes
-0.13708587553573304,0.07360045256180633,-0.1716866686570706,0.035070335429236266,Valentina,R&B,Valentina
0.42239746791988686,-0.04734451954026114,-0.08539935468010565,-0.0075228909826815455,Wake Up,hip hop,Wake Up
0.09301133189489261,0.1427105834582975,0.060456769781583757,0.10259465479984918,What You Won't Do for Love,soul,What You Won't Do for Love
0.29307811485752433,0.0003485650938624317,-0.0915204397687041,0.02283264036547828,Where's Your Head At,electronic,Where's Your Head At
-0.2077207807579994,0.12920561690415153,0.06309471388705902,-0.1634233574312306,You Don't Know What's Going On,folk rock,You Don't Know What's Going On
